,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Port Alfred,-33.5906,26.891,293.17,95,100,10.4,light rain
1,Mar Del Plata,-38.0023,-57.5575,289.87,83,42,0.89,scattered clouds
2,Tamale,9.4008,-0.8393,301.3,18,4,2.57,clear sky
3,Tobol,52.6844,62.5794,271.19,92,77,5.52,broken clouds
4,Banda Aceh,5.5577,95.3222,298.23,85,28,2.79,scattered clouds
5,Guapore,-28.8456,-51.8903,298.36,62,99,2.11,overcast clouds
6,Georgetown,5.4112,100.3354,299.2,81,20,0.45,few clouds
7,Camopi,3.1655,-52.3158,296.02,99,100,0.96,moderate rain
8,Dikson,73.5069,80.5464,243.01,99,100,4.94,overcast clouds
9,Souillac,-20.5167,57.5167,298.36,78,40,2.06,scattered clouds
10,Ushuaia,-54.8,-68.3,282.96,53,40,8.23,scattered clouds
11,Hermanus,-34.4187,19.2345,290.87,93,100,7.8,heavy intensity rain
12,Puntarenas,9.9763,-84.8384,304.11,81,31,2.23,scattered clouds
13,Baldovinesti,44.3833,24.05,275.6,87,90,1.54,overcast clouds
14,Port Blair,11.6667,92.75,299.2,79,36,3.97,scattered clouds
15,Cape Town,-33.9258,18.4232,290.99,87,75,0.89,moderate rain
16,Comodoro Rivadavia,-45.8667,-67.5,294.07,32,20,8.23,few clouds
17,Banamba,13.55,-7.45,297.0,16,100,4.29,overcast clouds
18,Bathsheba,13.2167,-59.5167,299.49,78,40,6.69,scattered clouds
19,Upernavik,72.7868,-56.1549,268.35,63,100,1.19,overcast clouds
20,Saint-Leu,-21.15,55.2833,297.61,82,11,0.95,few clouds
21,Savelugu,9.6244,-0.8253,301.11,18,6,2.48,clear sky
22,East London,-33.0153,27.9116,293.57,95,100,8.41,light rain
23,Mahebourg,-20.4081,57.7,298.31,78,40,2.06,scattered clouds
24,Hofn,64.2539,-15.2082,272.63,59,0,4.19,clear sky
25,Sainte-Maxime,43.3,6.6333,286.17,56,35,11.29,scattered clouds
26,Coro,11.4045,-69.6734,299.42,81,44,7.27,scattered clouds
27,Nyanza,-2.3519,29.7509,287.2,92,100,1.41,overcast clouds
28,Ilulissat,69.2167,-51.1,275.16,55,100,17.49,overcast clouds
29,Barra Do Corda,-5.5,-45.25,297.23,87,100,1.47,overcast clouds
30,Aras,42.5617,-2.356,279.38,76,75,4.12,broken clouds
31,Abalak,58.1286,68.5944,274.0,90,100,5.84,overcast clouds
32,Yar-Sale,66.8333,70.8333,242.62,98,25,1.49,scattered clouds
33,Grindavik,63.8424,-22.4338,271.41,80,0,6.17,clear sky
34,Port Elizabeth,-33.918,25.5701,290.43,100,75,5.66,light rain
35,Plaster Rock,46.9065,-67.39,263.44,84,28,1.5,scattered clouds
