City_ID,City,Max Temp,Description,Lat,Lng,Hotel Name
0,Port Alfred,293.17,light rain,-33.5906,26.891,The Halyards Hotel
1,Mar Del Plata,289.87,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
3,Tobol,271.19,broken clouds,52.6844,62.5794,Tobol Gostinitsa
4,Banda Aceh,298.23,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
5,Guapore,298.36,overcast clouds,-28.8456,-51.8903,Hotel Topo Gigio
6,Georgetown,299.2,few clouds,5.4112,100.3354,Cititel Penang
7,Camopi,296.02,moderate rain,3.1655,-52.3158,La pousada
8,Dikson,243.01,overcast clouds,73.5069,80.5464,
9,Souillac,298.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
10,Ushuaia,282.96,scattered clouds,-54.8,-68.3,Albatross Hotel
11,Hermanus,290.87,heavy intensity rain,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Baldovinesti,275.6,overcast clouds,44.3833,24.05,
14,Port Blair,299.2,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
15,Cape Town,290.99,moderate rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
16,Comodoro Rivadavia,294.07,few clouds,-45.8667,-67.5,Austral Hotel
17,Banamba,297.0,overcast clouds,13.55,-7.45,Kassela de Banamba
18,Bathsheba,299.49,scattered clouds,13.2167,-59.5167,Atlantis Hotel
19,Upernavik,268.35,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
20,Saint-Leu,297.61,few clouds,-21.15,55.2833,La Caz Oceane
22,East London,293.57,light rain,-33.0153,27.9116,Tu Casa
23,Mahebourg,298.31,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Hofn,272.63,clear sky,64.2539,-15.2082,Hótel Höfn
25,Sainte-Maxime,286.17,scattered clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
26,Coro,299.42,scattered clouds,11.4045,-69.6734,Federal
27,Nyanza,287.2,overcast clouds,-2.3519,29.7509,New Life Motel
28,Ilulissat,275.16,overcast clouds,69.2167,-51.1,Hotel Arctic
29,Barra Do Corda,297.23,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
30,Aras,279.38,broken clouds,42.5617,-2.356,Jardines de Viana Spa
31,Abalak,274.0,overcast clouds,58.1286,68.5944,Туристический комплекс Абалак
32,Yar-Sale,242.62,scattered clouds,66.8333,70.8333,Yalemd
33,Grindavik,271.41,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
34,Port Elizabeth,290.43,light rain,-33.918,25.5701,39 On Nile Guest House
35,Plaster Rock,263.44,scattered clouds,46.9065,-67.39,Settler's Inn & Motel
36,Kindia,295.46,broken clouds,10.0569,-12.8658,LES EAUX DE KILISSI
37,Qaanaaq,255.59,broken clouds,77.484,-69.3632,Qaanaaq Hotel
38,Najran,285.29,clear sky,17.4924,44.1277,محمد هادي ال فطيح
39,Bredasdorp,289.42,moderate rain,-34.5322,20.0403,Bredasdorp Country Manor
40,Joshimath,279.96,clear sky,30.5667,79.5667,Shivalik Camps & Resort
41,Madhipura,292.56,scattered clouds,25.9167,86.7833,SPOT ON 64083 Hotel Ganga
42,Oktyabrskoye,268.23,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
43,Nsoko,295.78,overcast clouds,-27.0333,31.95,
45,Luderitz,288.92,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
